Language,lat_str,lon_str,genus,family,countrycodes,Endangerment Level,Number of Speakers,Region,Latitude,Longitude
Abau,-4.0,141.25,Upper Sepik,Sepik,PG,Threatened ,7000,Pacific,-3.97, 141.32
Alabama,32.3333333333,-87.4166666667,Muskogean,Muskogean,US,Endangered ,250,North America,30.7158,-94.7028
Arbore,5.0,36.75,Lowland East Cushitic,Afro-Asiatic,ET,Threatened ,4441,Africa,5.0,36.75
Abun,-0.5,132.5,North-Central Bird's Head,West Papuan,ID,Threatened ,3000,Southeast Asia,-0.52, 132.19
Abui,-8.25,124.666666667,Greater Alor,Timor-Alor-Pantar,ID,Threatened ,16000,Southeast Asia,,
Abaza,44.0,42.0,Northwest Caucasian,Northwest Caucasian,RU,Vulnerable ,47880,Caucasus;Europe;East Asia,44.0,42.0
Achagua,4.41666666667,-72.25,Inland Northern Arawakan,Arawakan,CO,Endangered ,283,South America,4.41666666667,-72.25
Aché,-25.25,-55.1666666667,Tupi-Guaraní,Tupian,PY,Severely Endangered ,200,South America,-25.25,-55.1666666667
Achumawi,41.5,-121.0,Palaihnihan,Hokan,US,Critically Endangered ,10,North America,41.320107,-121.129761
Achuar,-2.66667,-76.0,Jivaroan,Jivaroan,PE,Threatened ,5443,South America,-2.876318, -77.586775
Adamorobe Sign Language,5.833333333330001,-0.166666666667,Sign Languages,other,GH,Threatened ,35,Africa,5.859378, -0.197951
Adang,-8.2,124.0,Greater Alor,Timor-Alor-Pantar,ID,Endangered ,7000,Southeast Asia,-8.195, 124.484
Adzera,-6.25,146.25,Oceanic,Austronesian,PG,Vulnerable ,28900,Pacific,-6.39, 146.29
Aghul,41.75,47.6666666667,Lezgic,Nakh-Daghestanian,RU,Threatened ,18000,Caucasus;Europe;East Asia,41.75,47.6666666667
Aguaruna,-5.0,-78.0,Jivaroan,Jivaroan,PE,Vulnerable ,55000,South America,-5.0,-78.0
Alagwa,-5.5,35.75,Southern Cushitic,Afro-Asiatic,TZ,Threatened ,10000,Africa,-5.5,35.75
Arapaho,40.0,-103.0,Algonquian,Algic,US,Severely Endangered ,1000,North America,43.0139,-108.8214
Ahtna,62.0,-145.0,Athapaskan,Na-Dene,US,Critically Endangered ,30,North America,62.7547,-144.3164
Aja,7.333333333330001,25.6666666667,Kresh,Central Sudanic,CF SS,Endangered ,200,Africa,7.33333333333,25.6666666667
Aka,2.66666666667,16.25,Bantoid,Niger-Congo,CF CG,Endangered ,Afewhundred,Africa,11.0112,34.2333
Arikara,45.5,-100.5,Caddoan,Caddoan,US,Critically Endangered ,10,North America,47.648,-101.8327
Alamblak,-4.66666666667,143.33333333299998,Sepik Hill,Sepik,PG,Threatened ,1200,Pacific,-4.66, 143.32
Aleut,54.0,-166.0,Aleut,Eskimo-Aleut,US,Endangered ,70,Caucasus;Europe;North America;East Asia,54.7212,-164.4433
Alune,-3.0,128.33333333299998,Central Malayo-Polynesian,Austronesian,ID,Vulnerable ,17200,Southeast Asia,-3.0,128.333333333
