Language,Code Value,lat_str,lon_str,genus,family,countrycodes
Arapesh (Abu),,-3.45,142.95,Kombio-Arapesh,Torricelli,PG
Aari,aiw,6,36.58333333,South Omotic,Afro-Asiatic,ET
Abau,aau,-4,141.25,Upper Sepik,Sepik,PG
Arabic (Chadian),shu,13.83333333,20.83333333,Semitic,Afro-Asiatic,TD
Abidji,abi,5.666666667,-4.583333333,Kwa,Niger-Congo,CI
Arabic (Beirut),apc,33.91666667,35.5,Semitic,Afro-Asiatic,LB
Arabic (Bahrain),abv,26,50.5,Semitic,Afro-Asiatic,BH
Abipón,axb,-29,-61,South Guaicuruan,Guaicuruan,AR
Abkhaz,abk,43.08333333,41,Northwest Caucasian,Northwest Caucasian,GE
Alabama,akz,32.33333333,-87.41666667,Muskogean,Muskogean,US
Arabana,ard,-28.25,136.25,Central Pama-Nyungan,Pama-Nyungan,AU
Arbore,arv,5,36.75,Lowland East Cushitic,Afro-Asiatic,ET
Abun,kgr,-0.5,132.5,North-Central Bird's Head,West Papuan,ID
Abui,abz,-8.25,124.6666667,Greater Alor,Timor-Alor-Pantar,ID
Abenaki (Western),abe,44,-72.25,Algonquian,Algic,US CA
Abaza,abq,44,42,Northwest Caucasian,Northwest Caucasian,RU
Acehnese,ace,5.5,95.5,Malayo-Sumbawan,Austronesian,ID
Achagua,aca,4.416666667,-72.25,Inland Northern Arawakan,Arawakan,CO
Aché,guq,-25.25,-55.16666667,Tupi-Guaraní,Tupian,PY
Achí,acr,15.16666667,-90.5,Mayan,Mayan,GT
Acholi,ach,3,32.66666667,Nilotic,Eastern Sudanic,UG SS
Achumawi,acv,41.5,-121,Palaihnihan,Hokan,US
Achang,acn,25,98.5,Burmese-Lolo,Sino-Tibetan,CN MM
Acoma,kjq,34.91666667,-107.5833333,Keresan,Keresan,US
Achuar,acu,-2.66667,-76,Jivaroan,Jivaroan,PE
Adamorobe Sign Language,ads,5.833333333,-0.166666667,Sign Languages,other,GH
Adang,adn,-8.2,124,Greater Alor,Timor-Alor-Pantar,ID
Adioukrou,adj,5.416666667,-4.583333333,Kwa,Niger-Congo,CI
Andoke,ano,-0.666666667,-72,Andoke,Andoke,CO
Adynyamathanha,adt,-30.5,139.5,Central Pama-Nyungan,Pama-Nyungan,AU
Adyghe (Temirgoy),ady,45.21666667,39.7,Northwest Caucasian,Northwest Caucasian,RU
Adyghe (Abzakh),ady,45.23333333,40.58333333,Northwest Caucasian,Northwest Caucasian,RU
Adzera,adz,-6.25,146.25,Oceanic,Austronesian,PG
Aleut (Eastern),ale,54.75,-164,Aleut,Eskimo-Aleut,US
Arabic (Egyptian),arz,30,31,Semitic,Afro-Asiatic,EG
Arabic (Eastern Libyan),ayl,32,22,Semitic,Afro-Asiatic,LY
Afrikaans,afr,-31,22,Germanic,Indo-European,ZA
Agarabi,agd,-6.166666667,146,Eastern Highlands,Trans-New Guinea,PG
Leggbó,agb,6,8,Cross River,Niger-Congo,NG
Agta (Central),agt,17.96666667,121.8333333,Greater Central Philippine,Austronesian,PH
Agta (Dupaningan),duo,18,122.0833333,Greater Central Philippine,Austronesian,PH
Aghem,agq,6.666666667,10,Bantoid,Niger-Congo,CM
Aghul,agx,41.75,47.66666667,Lezgic,Nakh-Daghestanian,RU
Angami,njm,25.66666667,94.5,Kuki-Chin,Sino-Tibetan,IN
Angolar,aoa,0.25,6.5,Creoles and Pidgins,other,ST
Aguaruna,agr,-5,-78,Jivaroan,Jivaroan,PE
Anguthimri,lnj,-12.33333333,141.8333333,Northern Pama-Nyungan,Pama-Nyungan,AU
Aguacatec,agu,15.41666667,-91.33333333,Mayan,Mayan,GT
Alagwa,wbj,-5.5,35.75,Southern Cushitic,Afro-Asiatic,TZ
Arapaho,arp,40,-103,Algonquian,Algic,US
Arabic (Bani-Hassan),mey,20,-10,Semitic,Afro-Asiatic,MR
Ahtna,aht,62,-145,Athapaskan,Na-Dene,US
Aghu,ahh,-6.166666667,140.1666667,Awju-Dumut,Trans-New Guinea,ID
Aikaná,tba,-12.66666667,-60.66666667,Aikaná,Aikaná,BR
Ainu,ain,43,143,Ainu,Ainu,JP
Aizi,ahp,5.25,-4.5,Kru,Niger-Congo,CI
Aja,aja,7.333333333,25.66666667,Kresh,Central Sudanic,CF SS
Ajagbe,ajg,7,1.75,Kwa,Niger-Congo,BJ TG
Ajië,aji,-21.33333333,165.5,Oceanic,Austronesian,NC
Aka,axk,2.666666667,16.25,Bantoid,Niger-Congo,CF CG
Aka-Biada,abj,11.66666667,92.5,Great Andamanese,Great Andamanese,IN
Aka-Cari,aci,13.5,93,Great Andamanese,Great Andamanese,IN
Akha,ahk,21.83333333,99.83333333,Burmese-Lolo,Sino-Tibetan,MM TH CN
Aka-Kede,akx,12.75,92.75,Great Andamanese,Great Andamanese,IN
Aklanon,akl,11.58333333,122.3333333,Greater Central Philippine,Austronesian,PH
Arakanese (Marma),rmz,21.5,92.5,Burmese-Lolo,Sino-Tibetan,MM BD
Akan,aka,6.5,-1.25,Kwa,Niger-Congo,GH
Arabic (Kormakiti),acy,35.25,33.5,Semitic,Afro-Asiatic,CY
Arikara,ari,45.5,-100.5,Caddoan,Caddoan,US
Akawaio,ake,6,-59.5,Cariban,Cariban,GY
Alamblak,amp,-4.666666667,143.3333333,Sepik Hill,Sepik,PG
Albanian,aln,41,20,Albanian,Indo-European,AL RS
Allentiac,,-31,-68,Huarpe,Huarpe,AR
Alladian,ald,5.166666667,-4.333333333,Kwa,Niger-Congo,CI
Aleut,ale,54,-166,Aleut,Eskimo-Aleut,US
Algonquin,alq,46,-77,Algonquian,Algic,CA
Arop-Lokep,apr,-5.383333333,147.05,Oceanic,Austronesian,PG
Ala'ala,nrz,-8.916666667,146.75,Oceanic,Austronesian,PG
Alune,alp,-3,128.3333333,Central Malayo-Polynesian,Austronesian,ID
Alsea,aes,44.66666667,-123.9166667,Alsea,Oregon Coast,US
Alsatian,gsw,48.5,7.5,Germanic,Indo-European,FR
Alutor,alr,61,165,Northern Chukotko-Kamchatkan,Chukotko-Kamchatkan,RU
Alawa,alh,-15.16666667,134.25,Alawa,Mangarrayi-Maran,AU
