Code Value,Language,Endangerment Level,Number of Speakers,Region,Latitude,Longitude
knw,!Xun,Vulnerable ,14000,Africa,-28.74358,23.983154
bpk,'Ôrôê,Endangered ,590,Pacific,-21.4223,165.4678
taa,(Lower) Tanana,Critically Endangered ,25,North America,65.157778, -149.37
aas,Aasáx,Dormant ,0,Africa,-5.1948,37.738
abg,Abaga,Critically Endangered ,5,Pacific,-6.1883,145.5976
abf,Abai Sungai,Endangered ,500,Southeast Asia,5.587, 118.3695
aau,Abau,Threatened ,7000,Pacific,-3.97, 141.32
abq,Abaza,Vulnerable ,47880,Caucasus;Europe;East Asia,44.0,42.0
abp,Abellen Ayta,Threatened ,3500,Southeast Asia,,
bsa,Abinomn,Critically Endangered ,50,Southeast Asia,-2.92, 138.89
aob,Abom,Critically Endangered ,15,Pacific,-8.424996376, 142.9303589
ado,Abu,Threatened ,2347,Pacific,-4.24, 144.47
aah,Abu',Threatened ,2560,Pacific,-3.4, 142.8
abz,Abui,Threatened ,16000,Southeast Asia,,
kgr,Abun,Threatened ,3000,Southeast Asia,-0.52, 132.19
aca,Achagua,Endangered ,283,South America,4.41666666667,-72.25
guq,Aché,Severely Endangered ,200,South America,-25.25,-55.1666666667
acz,Acheron,Vulnerable ,70000,Africa,10.809,30.2453
acr,Achi',Vulnerable ,51593,"Mexico, Central America, Caribbean",15.1666666667,-90.5
acu,Achuar,Threatened ,5443,South America,-2.876318, -77.586775
acv,Achumawi,Critically Endangered ,10,North America,41.320107,-121.129761
kjq,Acoma-Laguna,Threatened ,,North America,34.8964,-107.5816
ads,Adamorobe Sign Language,Threatened ,35,Africa,5.859378, -0.197951
adn,Adang,Endangered ,7000,Southeast Asia,-8.195, 124.484
tiu,Adasen Itneg,Threatened ,4000,Southeast Asia,,
adi,Adi,At risk ,100190,South Asia;East Asia,28.526319,93.115814
dth,Adithinngithigh,Dormant ,NoknownL1speakers,Australia,-12.887711, 141.717248
adt,Adnyamathanha,Endangered ,100,Australia,-30.83714135,139.1215397
adz,Adzera,Vulnerable ,28900,Pacific,-6.39, 146.29
aeq,Aer,Endangered ,200,South Asia,25.272921, 69.290285
aft,Afitti,Endangered ,,Africa,,
ulf,Afra,Threatened ,,Southeast Asia,-3.5449,140.7499
5qc,Aftari,Endangered ,500,Near East,35.36, 53.7
avo,Agavotaguerra,Dormant ,0,South America,-13.30, -53.44
gtu,Aghu-Tharnggala,Dormant ,0,Australia,-15.11729919, 145.810382
agx,Aghul,Threatened ,18000,Caucasus;Europe;East Asia,41.75,47.6666666667
aif,Agi,Endangered ,670,Pacific,-3.49, 142.39
agr,Aguaruna,Vulnerable ,,South America,-5.0,-78.0
aug,Aguna,Threatened ,3470,Africa,,
wmi,Agwamin,Critically Endangered ,1,Australia,-17.83386864,144.2350367
ahn,Àhàn,Endangered ,300,Africa,7.762, 5.724
aht,Ahtna,Critically Endangered ,30,North America,62.7547,-144.3164
