,Name
Latin,355
French,189
French (Anglo-Norman),133
Greek,56
Late Latin,54
Old Norse,54
Old French,47
Dutch,22
Spanish,18
Middle Low German,16
Middle French,15
Germanic,12
Arabic,8
Taino,7
Unidentified,5
Tupí,4
Italian,4
Portuguese,4
Celtic,3
Proto-Germanic,3
Welsh,2
Middle Dutch,2
Tamil,2
Vulgar Latin,2
Algonquian (Powhatan),2
Nahuatl,2
Frankish,2
Gaelic (Scottish),2
Sanskrit,2
Occitan,2
French (Walloon),1
Middle High German,1
Min,1
Middle North Germanic,1
Dharuk,1
Wolof,1
German,1
West Germanic,1
Mikmaq,1
Eastern Abenaki,1
Narragansett,1
Mapudungun,1
Hebrew,1
Coptic,1
Malay,1
Tahitian,1
Guugu Yimidhirr,1
Proto-Semitic,1
Mongolian,1
Norwegian,1
Old Persian,1
Kannada,1
Phoenician,1
