,Name,Latitude,Longitude,Country,Code
0,Dutch,52.5,6,Netherlands,NL
22,Mapudungun,-38,-72,Chile,C
23,Algonquian (Powhatan),43.2567,-79.8691,United States,US
25,Arabic,25,42,Algeria,DZ
33,Celtic,50.1186,-5.53715,Ireland,IE
36,Min,24.4796,118.089,China,TW
37,Latin,41.8955,12.4823,Italy,IT
392,Germanic,54.9158,8.33083,Germany,DE
404,Coptic,26,32,Egypt,EG
405,Dharuk,-33.8671,151.207,Australia,AU
406,Eastern Abenaki,44,-71,Canada,CA
407,Spanish,40,-4,Spain,ES
425,Frankish,49,4,France,FR
427,French,48,2,France,FR
616,French (Anglo-Norman),50.86,0.571944,France,FR
749,Old French,49.2566,4.03309,France,FR
796,French (Walloon),50.4641,4.86043,France,FR
797,German,52,10,Germany,DE
798,Middle High German,48.5,8,Germany,DE
799,Middle Low German,51.8,12.0667,Germany,DE
815,West Germanic,52,7,Germany,DE
816,Greek,37.0378,27.4239,Greece,GR
872,Guugu Yimidhirr,-15,144.833,Australia,AU
873,Hebrew,31.5,34.8333,Israel,IL
874,Italian,43,12,Italy,IT
878,Kannada,14,76,India,IN
879,Late Latin,44.4167,12.2,Italy,IT
933,Vulgar Latin,40.8167,14.1167,Italy,IT
935,Malay,3,102,Malaysia,MY
936,Middle Dutch,51.7,5.31667,Netherlands,NL
938,Middle French,47.5855,1.33095,France,FR
953,Middle North Germanic,60,11,Norway,NO
954,Mikmaq,45,-63,Canada,CA
955,Mongolian,47,105,Mongolia,MN
956,Nahuatl,19.4333,-99.1333,Mexico,MX
958,Narragansett,42.6667,-73.5,United States,US
959,Norwegian,61,8,Norway,NO
960,Occitan,44,2,France,FR
962,Sanskrit,25.282,82.9563,India,IN
964,Old Norse,47,13,Austria,AT
1018,Old Persian,34.3883,47.4367,Iran,IR
1019,Phoenician,34.1236,35.6511,Lebanon,LB
1020,Portuguese,39,-8,Portugal,PT
1024,Proto-Germanic,55.5,9,Denmark,DK
1027,Proto-Semitic,33,40,Iraq,IQ
1028,Gaelic (Scottish),57,-4,Scotland,GB
1030,Tahitian,-17.6667,-149.583,Tahiti,PF
1031,Taino,25.0343,-77.3963,The Bahamas,BS
1038,Tamil,11,78.5,India,IN
1040,Tupí,-6,-36,Brazil,BR
1049,Welsh,52,-3,Wales,GB
1051,Wolof,15.25,-16,Senegal,SN
